model_type,id,f1_micro,f1_macro,f1_weighted
LogisticRegression,LG-1-1,0.52,0.4622880371660859,0.5159016647309331
LogisticRegression,LG-2-1,0.5733333333333334,0.507019107019107,0.5675560175560176
LogisticRegression,LG-3-1,0.5733333333333334,0.507019107019107,0.5675560175560176
LogisticRegression,LG-1-2,0.5333333333333333,0.497737671063539,0.5267434349897955
LogisticRegression,LG-2-2,0.49333333333333335,0.4673581973581973,0.4902709142709143
LogisticRegression,LG-3-2,0.49333333333333335,0.4673581973581973,0.4902709142709143
LogisticRegression,LG-1-3,0.5405405405405406,0.4955289298515105,0.5341503715697264
LogisticRegression,LG-2-3,0.527027027027027,0.4992973210364514,0.5262525371221023
LogisticRegression,LG-3-3,0.527027027027027,0.49975206149119195,0.526612549644277
LogisticRegression,LG-1-4,0.581081081081081,0.5080860513118578,0.5699421371609689
LogisticRegression,LG-2-4,0.6081081081081081,0.5365772946859904,0.5952785938112025
LogisticRegression,LG-3-4,0.6081081081081081,0.5365772946859904,0.5952785938112025
LogisticRegression,LG-1-5,0.5540540540540541,0.5511755038070827,0.5615457742058027
LogisticRegression,LG-2-5,0.5405405405405406,0.547890680596563,0.5440306670513347
LogisticRegression,LG-3-5,0.5405405405405406,0.547890680596563,0.5440306670513347
